sku,name,category,stock,reorderPoint,supplier,price
SKU070,Dish Soap 1L,Pantry,6,12,CleanCo,5.00
SKU071,Sponges 5pk,Pantry,25,10,CleanCo,3.00
SKU072,Bin Liners Large,Pantry,80,20,CleanCo,8.00
SKU073,Toilet Paper 24pk,Pantry,0,10,CleanCo,18.00
SKU074,Hand Sanitizer,Pantry,5,15,CleanCo,6.00
SKU075,Air Freshener,Pantry,15,8,CleanCo,4.00
SKU076,Cleaning Spray,Pantry,60,10,CleanCo,5.00
SKU077,Water Bottle Pack,Pantry,0,20,AquaPure,12.00
SKU078,Soda Cans 12pk,Pantry,8,15,FizzCo,10.00
SKU079,Energy Bar Box,Pantry,20,10,SnackTime,25.00
SKU080,Chocolate Bar Box,Pantry,50,15,SnackTime,30.00
SKU081,Mouse Pad,Accessories,0,20,SurfaceTech,5.00
SKU082,Screen Cleaning Kit,Accessories,10,25,CleanView,12.00
SKU083,Laptop Sleeve 13",Accessories,35,10,ProtectIt,25.00
SKU084,Cable Ties 100pk,Accessories,200,30,OrganizeIt,4.00
SKU085,Wrist Rest,Accessories,0,10,ComfortSeat,15.00
SKU086,Phone Stand,Accessories,5,15,AlloyTech,12.00
SKU087,Tablet Stand,Accessories,20,10,AlloyTech,20.00
SKU088,Cable Clips 6pk,Accessories,100,20,OrganizeIt,8.00
SKU089,USB Fan Mini,Accessories,0,10,CoolAir,10.00
SKU090,USB Light,Accessories,8,15,BrightLite,8.00
SKU091,Keyring Torch,Accessories,25,20,BrightLite,5.00
SKU092,Lanyard Black,Accessories,150,50,SecureCo,2.00
SKU093,ID Card Holder,Accessories,0,50,SecureCo,1.00
SKU094,Badge Reel,Accessories,20,40,SecureCo,3.00
SKU095,Laptop Lock Cable,Accessories,30,10,SecureCo,25.00
SKU096,Privacy Screen 14",Accessories,60,5,ProtectIt,30.00
SKU097,Dust Cover Keyboard,Accessories,0,10,CleanView,8.00
SKU098,Webcam Cover 3pk,Accessories,15,20,SecureCo,5.00
SKU099,Microfiber Cloth,Accessories,40,15,CleanView,2.00
SKU100,Compressed Air Can,Accessories,80,10,CleanView,8.00
