sku,name,category,stock,reorderPoint,supplier,price
SKU068,Paper Clips Box,Stationery,150,50,OfficeDepot,3.99
SKU069,Binder Clips Medium,Stationery,120,40,OfficeDepot,4.99
SKU070,Punch 2-Hole,Stationery,12,5,OfficeDepot,9.99
SKU071,Notebook A4 Lined,Stationery,80,30,PaperPro,3.50
SKU072,Notebook A5 Grid,Stationery,60,25,PaperPro,2.50
SKU073,Sticky Notes Yellow,Stationery,100,40,PaperPro,1.99
SKU074,Sticky Notes Neon,Stationery,90,35,PaperPro,2.50
SKU075,Index Cards Pack,Stationery,70,25,PaperPro,1.50
SKU076,Printer Paper A4 Ream,Stationery,500,50,PaperPro,6.99
SKU077,Coffee Beans 1kg,Pantry,80,10,BrewMaster,24.99
SKU078,Tea Bags 100pk,Pantry,150,20,TeaTime,5.99
SKU079,Sugar Sticks 1000pk,Pantry,300,50,SweetLife,8.99
SKU080,Milk UHT 1L,Pantry,200,20,DairyBest,1.29
SKU081,Water Bottle 500ml,Pantry,1000,100,AquaPure,0.50
SKU082,Paper Cups 50pk,Pantry,600,50,EcoWare,3.99
SKU083,Stirrers Wood 1000pk,Pantry,800,100,EcoWare,5.99
SKU084,Napkins Paper Pack,Pantry,400,50,EcoWare,2.99
SKU085,Toilet Paper 24pk,Pantry,100,10,CleanCo,15.99
SKU086,Hand Soap 500ml,Pantry,200,20,CleanCo,2.99
SKU087,Hand Sanitizer 500ml,Pantry,300,30,CleanCo,4.99
SKU088,Dish Soap 1L,Pantry,150,15,CleanCo,3.99
SKU089,Sponges Pack,Pantry,250,25,CleanCo,1.99
SKU090,Bin Liners Large,Pantry,400,40,CleanCo,6.99
SKU091,AA Batteries 4pk,Electronics,1000,100,PowerPlus,3.99
SKU092,AAA Batteries 4pk,Electronics,800,80,PowerPlus,3.99
SKU093,USB Flash Drive 16GB,Electronics,500,50,ConnectCo,6.99
SKU094,Mouse Pad Basic,Accessories,600,50,OfficeDepot,1.99
SKU095,Screen Wipes Box,Accessories,200,20,CleanCo,4.99
SKU096,Envelope DL 100pk,Stationery,400,40,PaperPro,5.99
SKU097,Envelope C4 50pk,Stationery,300,30,PaperPro,7.99
SKU098,Labels Address Box,Stationery,250,25,PaperPro,8.99
SKU099,Rubber Bands Box,Stationery,300,30,OfficeDepot,1.50
SKU100,Thumbtacks Box,Stationery,500,50,OfficeDepot,1.29
